%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.data_offset,field.data0,field.data1
1503852818631879615,sensor data,2,1,1,19049,14041
1503852818652377427,sensor data,2,1,1,19062,14052
1503852818672496373,sensor data,2,1,1,19044,14057
1503852818691968734,sensor data,2,1,1,19039,14051
1503852818711855583,sensor data,2,1,1,19041,14057
1503852818732014151,sensor data,2,1,1,19047,14046
1503852818752014595,sensor data,2,1,1,19047,14055
1503852818772133724,sensor data,2,1,1,19045,14054
1503852818792492000,sensor data,2,1,1,19043,14051
1503852818811914996,sensor data,2,1,1,19052,14045
1503852818832532709,sensor data,2,1,1,19042,14044
1503852818852126090,sensor data,2,1,1,19040,14057
1503852818872036700,sensor data,2,1,1,19045,14048
1503852818891996628,sensor data,2,1,1,19049,14063
1503852818912961126,sensor data,2,1,1,19047,14048
1503852818932931677,sensor data,2,1,1,19052,14042
1503852818952041486,sensor data,2,1,1,19045,14049
1503852818971901242,sensor data,2,1,1,19049,14058
1503852818992174907,sensor data,2,1,1,19053,14046
1503852819011914433,sensor data,2,1,1,19046,14053
1503852819031990395,sensor data,2,1,1,19040,14049
1503852819052090954,sensor data,2,1,1,19051,14049
1503852819072733445,sensor data,2,1,1,19047,14049
1503852819092079728,sensor data,2,1,1,19052,14040
1503852819111721362,sensor data,2,1,1,19051,14049
1503852819131884450,sensor data,2,1,1,19041,14052
1503852819152597359,sensor data,2,1,1,19039,14042
1503852819172124712,sensor data,2,1,1,19050,14050
1503852819192201216,sensor data,2,1,1,19045,14050
1503852819212190318,sensor data,2,1,1,19040,14059
1503852819232495716,sensor data,2,1,1,19045,14048
1503852819251882642,sensor data,2,1,1,19052,14052
1503852819272120271,sensor data,2,1,1,19043,14050
1503852819292301427,sensor data,2,1,1,19044,14054
1503852819311781102,sensor data,2,1,1,19055,14048
1503852819333052511,sensor data,2,1,1,19048,14050
